wmoid	name	prov	lon	lat	high	mlowt	std1	hightsev	std2	hight	lowt	mrain	
57385	广水	湖北	113.82	31.62	93.3	-9	3	35	1	37	-15	877.3	
57399	麻城	湖北	115.02	31.18	59.3	-8	3	36	1	38	-14	1284.5	
57405	遂宁	四川	105.58	30.5	278.2	-2	1	36	1	38	-4	1113.7	
57411	南充	四川	106.1	30.78	309.3	-1	2	36	2	40	-5	1116.2	
57426	梁平	重庆	107.8	30.68	454.6	-3	1	36	1	38	-5	1783.1	
57432	万县	重庆	108.4	30.77	186.7	-2	2	38	1	40	-6	1081.5	
57447	鄂西	湖北	109.47	30.28	457.1	-4	2	36	1	38	-8	1524.5	
57458	五峰	湖北	110.68	30.18	908.4	-8	2	32	2	36	-12	1209.9	
57461	宜昌	湖北	111.3	30.7	133.1	-4	2	37	1	39	-8	1126.2	
57476	荆州	湖北	112.18	30.33	32.6	-6	3	35	1	37	-12	1058	
57483	天门	湖北	113.17	30.67	34.1	-7	3	35	1	37	-13	975.6	
57494	武汉	湖北	114.13	30.62	23.3	-9	3	36	1	38	-15	1100	
57504	内江	四川	105.05	29.58	347.1	-1	2	35	1	37	-5	909.5	
57516	重庆沙坪坝	重庆	106.47	29.58	259.1	1	2	38	1	40	-3	1324.4	
57522	涪陵	重庆	107.42	29.75	273.5	0	2	38	1	40	-4	1381.4	
57545	来风	湖北	109.42	29.52	459.5	-5	2	34	1	36	-9	1283	
57554	龙山	湖南	110.17	29.4	322.2	-4	2	36	2	40	-8	1578.5	
57562	石门	湖南	111.37	29.58	116.9	-5	2	36	1	38	-9	1267.8	
57574	南县	湖南	112.4	29.37	36	-6	3	35	1	37	-12	1114	
57583	嘉鱼	湖北	113.92	29.98	36	-6	3	37	1	39	-12	1373.3	
57584	岳阳	湖南	113.08	29.38	53	-5	3	35	1	37	-11	1601.1	
57598	修水	江西	114.58	29.03	146.8	-8	2	37	1	39	-12	1305.2	
57602	泸州	四川	105.43	28.88	334.8	1	2	36	1	38	-3	1069.4	
57606	桐梓	贵州	106.83	28.13	972	-5	1	32	1	34	-7	855.7	
57608	叙永	四川	105.43	28.17	377.5	1	1	37	2	41	-1	1189.2	
57614	习水	贵州	106.22	28.33	1180.2	-6	2	30	1	32	-10	1174.3	
57633	酉阳	重庆	108.77	28.8	663.7	-5	1	33	1	35	-7	1282.5	
57649	吉首	湖南	109.73	28.32	206.6	-4	2	36	1	38	-8	1591.5	
57655	沅陵	湖南	110.4	28.47	151.6	-5	2	36	1	38	-9	1319.4	
57662	常德	湖南	111.68	29.05	35	-5	3	36	1	38	-11	1210.7	
57669	安化	湖南	111.22	28.38	128.3	-5	2	37	1	39	-9	1625.7	
57671	沅江	湖南	112.37	28.85	36	-5	2	36	1	38	-9	1359.5	
57682	平江	湖南	113.57	28.72	106.3	-6	2	36	1	38	-10	1749.6	
57707	毕节	贵州	105.28	27.3	1510.6	-6	2	30	1	32	-10	875.6	
57713	遵义	贵州	106.88	27.7	843.9	-4	1	33	1	35	-6	1085.9	
57722	湄潭	贵州	107.47	27.77	791.8	-5	1	33	1	35	-7	1047.3	
57731	思南	贵州	108.25	27.95	416.3	-2	2	36	1	38	-6	1218.6	
57741	铜仁	贵州	109.18	27.72	279.7	-4	2	36	1	38	-8	816	
57745	芷江	湖南	109.68	27.45	272.2	-5	2	35	1	37	-9	1082.7	
57766	邵阳	湖南	111.47	27.23	248.6	-5	2	36	1	38	-9	1462.2	
57774	双峰	湖南	112.17	27.45	100	-6	2	37	1	39	-10	1284	
